FIRST NAME,LAST NAME,TEAM,NUMBER,POSITION,HEIGHT(METER),WEIGHT(KG),COUNTRY,LAST ATTENDED,AGE(YEARS),BIRTHDATE,DRAFT,EXPERIENCE(YEARS)
Ricky,Rubio,Cleveland Cavaliers,3,Guard,1.88,86.0,Spain,FC Barcelona,31,1990-10-21,2009 R1 Pick 5,10
D'Angelo,Russell,Minnesota Timberwolves,0,Guard,1.93,88.0,USA,Ohio State,25,1996-02-23,2015 R1 Pick 2,6
Domantas,Sabonis,Indiana Pacers,11,Forward-Center,2.11,109.0,Lithuania,Gonzaga,25,1996-05-03,2016 R1 Pick 11,5
Luka,Samanic,New York Knicks,91,Forward,2.08,103.0,Croatia,Union Olimpija,22,2000-01-09,2019 R1 Pick 19,2
Dario,Saric,Phoenix Suns,20,Forward-Center,2.08,102.0,Croatia,Anadolu Efes,27,1994-04-08,2014 R1 Pick 12,5
Tomas,Satoransky,New Orleans Pelicans,31,Guard,2.01,95.0,Czech Republic,FC Barcelona,30,1991-10-30,2012 R2 Pick 32,5
Admiral,Schofield,Orlando Magic,25,Forward,1.96,109.0,United Kingdom,Tennessee,24,1997-03-30,2019 R2 Pick 42,1
Dennis,Schroder,Boston Celtics,71,Guard,1.85,78.0,Germany,Braunschweig,28,1993-09-15,2013 R1 Pick 17,8
Jay,Scrubb,LA Clippers,0,Guard,1.96,100.0,USA,John A. Logan,21,2000-09-01,2020 R2 Pick 55,1
Alperen,Sengun,Houston Rockets,28,Center,2.08,110.0,Turkey,Besiktas,19,2002-07-25,2021 R1 Pick 16,0
Collin,Sexton,Cleveland Cavaliers,2,Guard,1.85,86.0,USA,Alabama,23,1999-01-04,2018 R1 Pick 8,3
Landry,Shamet,Phoenix Suns,14,Guard,1.93,86.0,USA,Wichita State,24,1997-03-13,2018 R1 Pick 26,3
Day'Ron,Sharpe,Brooklyn Nets,20,Forward,2.06,120.0,USA,North Carolina,20,2001-11-06,2021 R1 Pick 29,0
Pascal,Siakam,Toronto Raptors,43,Forward,2.03,104.0,Cameroon,New Mexico State,27,1994-04-02,2016 R1 Pick 27,5
Chris,Silva,Miami Heat,30,Forward,2.03,106.0,Gabon,South Carolina,25,1996-09-19,Undrafted,2
Ben,Simmons,Philadelphia 76ers,25,Guard-Forward,2.11,109.0,Australia,Louisiana State,25,1996-07-20,2016 R1 Pick 1,4
Marko,Simonovic,Chicago Bulls,19,Center,2.11,100.0,Montenegro,Mega Basket,22,1999-10-15,2020 R2 Pick 44,0
Anfernee,Simons,Portland Trail Blazers,1,Guard,1.91,82.0,USA,Edgewater HS (FL),22,1999-06-08,2018 R1 Pick 24,3
Jericho,Sims,New York Knicks,45,Center,2.06,113.0,USA,Texas-Austin,23,1998-10-20,2021 R2 Pick 58,0
Javonte,Smart,Milwaukee Bucks,6,Guard,1.93,93.0,USA,Louisiana State,22,1999-06-03,Undrafted,0
Marcus,Smart,Boston Celtics,36,Guard,1.93,100.0,USA,Oklahoma State,27,1994-03-06,2014 R1 Pick 6,7
Chris,Smith,Detroit Pistons,0,Forward,2.06,98.0,USA,UCLA,22,1999-12-24,Undrafted,0
Ish,Smith,Charlotte Hornets,10,Guard,1.83,79.0,USA,Wake Forest,33,1988-07-05,Undrafted,11
Jalen,Smith,Phoenix Suns,10,Forward-Center,2.08,98.0,USA,Maryland,21,2000-03-16,2020 R1 Pick 10,1
Dennis,Smith Jr.,Portland Trail Blazers,10,Guard,1.88,93.0,USA,North Carolina State,24,1997-11-25,2017 R1 Pick 9,4
Tony,Snell,Portland Trail Blazers,17,Guard,1.98,97.0,USA,New Mexico,30,1991-11-10,2013 R1 Pick 20,8
Jaden,Springer,Philadelphia 76ers,11,Guard,1.93,92.0,USA,Tennessee,19,2002-09-25,2021 R1 Pick 28,0
Cassius,Stanley,Detroit Pistons,2,Guard,1.96,86.0,USA,Duke,22,1999-08-18,2020 R2 Pick 54,1
Nik,Stauskas,Miami Heat,9,Guard,1.98,94.0,Canada,Michigan,28,1993-10-07,2014 R1 Pick 8,5
Lance,Stephenson,Indiana Pacers,6,Forward,1.96,95.0,USA,Cincinnati,31,1990-09-05,2010 R2 Pick 40,9
Lamar,Stevens,Cleveland Cavaliers,8,Forward,1.98,104.0,USA,Penn State,24,1997-07-09,Undrafted,1
Isaiah,Stewart,Detroit Pistons,28,Forward-Center,2.03,113.0,USA,Washington,20,2001-05-22,2020 R1 Pick 16,1
Max,Strus,Miami Heat,31,Guard-Forward,1.96,98.0,USA,DePaul,25,1996-03-28,Undrafted,2
Jalen,Suggs,Orlando Magic,4,Guard,1.96,93.0,USA,Gonzaga,20,2001-06-03,2021 R1 Pick 5,0
Keifer,Sykes,Indiana Pacers,28,Guard,1.8,76.0,USA,Wisconsin-Green Bay,28,1993-12-30,Undrafted,0
Jae'Sean,Tate,Houston Rockets,8,Forward,1.93,104.0,USA,Ohio State,26,1995-10-28,Undrafted,1
Jayson,Tatum,Boston Celtics,0,Forward-Guard,2.03,95.0,USA,Duke,23,1998-03-03,2017 R1 Pick 3,4
Terry,Taylor,Indiana Pacers,32,Forward,1.96,104.0,USA,Austin Peay,22,1999-09-23,Undrafted,0
Garrett,Temple,New Orleans Pelicans,41,Guard-Forward,1.96,88.0,USA,Louisiana State,35,1986-05-08,Undrafted,11
Tyrell,Terry,Memphis Grizzlies,1,Guard,1.88,73.0,USA,Stanford,21,2000-09-28,2020 R2 Pick 31,1
Jon,Teske,Memphis Grizzlies,15,Center,2.16,120.0,USA,Michigan,24,1997-05-04,Undrafted,0
Daniel,Theis,Houston Rockets,27,Forward-Center,2.06,111.0,Germany,Brose Bamberg,29,1992-04-04,Undrafted,4
Brodric,Thomas,Boston Celtics,97,Guard,1.96,84.0,USA,Truman State,24,1997-01-28,Undrafted,1
Cam,Thomas,Brooklyn Nets,24,Guard,1.91,95.0,Japan,Louisiana State,20,2001-10-13,2021 R1 Pick 27,0
Matt,Thomas,Chicago Bulls,21,Guard,1.91,86.0,USA,Iowa State,27,1994-08-04,Undrafted,2
Klay,Thompson,Golden State Warriors,11,Guard,1.98,100.0,USA,Washington State,31,1990-02-08,2011 R1 Pick 11,8
Tristan,Thompson,Sacramento Kings,13,Center-Forward,2.06,115.0,Canada,Texas-Austin,30,1991-03-13,2011 R1 Pick 4,10
JT,Thor,Charlotte Hornets,21,Forward,2.06,92.0,USA,Auburn,19,2002-08-26,2021 R2 Pick 37,0
Matisse,Thybulle,Philadelphia 76ers,22,Guard-Forward,1.96,91.0,USA,Washington,24,1997-03-04,2019 R1 Pick 20,2
Killian,Tillie,Memphis Grizzlies,35,Forward-Center,2.06,100.0,France,Gonzaga,23,1998-03-05,Undrafted,1
Xavier,Tillman,Memphis Grizzlies,2,Forward,2.03,111.0,USA,Michigan State,22,1999-01-12,2020 R2 Pick 35,1
Isaiah,Todd,Washington Wizards,14,Forward,2.06,99.0,USA,NBA G League Ignite,20,2001-10-17,2021 R2 Pick 31,0
Obi,Toppin,New York Knicks,1,Forward,2.06,100.0,USA,Dayton,23,1998-03-04,2020 R1 Pick 8,1
Juan,Toscano-Anderson,Golden State Warriors,95,Forward,1.98,95.0,USA,Marquette,28,1993-04-10,Undrafted,2
Karl-Anthony,Towns,Minnesota Timberwolves,32,Center-Forward,2.11,112.0,USA,Kentucky,26,1995-11-15,2015 R1 Pick 1,6
Gary,Trent Jr.,Toronto Raptors,33,Guard-Forward,1.96,95.0,USA,Duke,22,1999-01-18,2018 R2 Pick 37,3
P.J.,Tucker,Miami Heat,17,Forward,1.96,111.0,USA,Texas-Austin,36,1985-05-05,2006 R2 Pick 35,10
Rayjon,Tucker,Denver Nuggets,24,Guard,1.91,95.0,USA,Arkansas-Little Rock,24,1997-09-24,Undrafted,2
Myles,Turner,Indiana Pacers,33,Center-Forward,2.11,113.0,USA,Texas-Austin,25,1996-03-24,2015 R1 Pick 11,6
Jonas,Valanciunas,New Orleans Pelicans,17,Center,2.11,120.0,Lithuania,Lietuvos rytas Vilnius,29,1992-05-06,2011 R1 Pick 5,9
Fred,VanVleet,Toronto Raptors,23,Guard,1.85,89.0,USA,Wichita State,27,1994-02-25,Undrafted,5
Jarred,Vanderbilt,Minnesota Timberwolves,8,Forward,2.06,97.0,USA,Kentucky,22,1999-04-03,2018 R2 Pick 41,3
Devin,Vassell,San Antonio Spurs,24,Guard-Forward,1.96,91.0,USA,Florida State,21,2000-08-23,2020 R1 Pick 11,1
Gabe,Vincent,Miami Heat,2,Guard,1.91,91.0,USA,California-Santa Barbara,25,1996-06-14,Undrafted,2
Nikola,Vucevic,Chicago Bulls,9,Center,2.08,118.0,Montenegro,Southern California,31,1990-10-24,2011 R1 Pick 16,10
Dean,Wade,Cleveland Cavaliers,32,Forward-Center,2.06,103.0,USA,Kansas State,25,1996-11-20,Undrafted,2
Franz,Wagner,Orlando Magic,22,Forward,2.08,100.0,Germany,Michigan,20,2001-08-27,2021 R1 Pick 8,0
Moritz,Wagner,Orlando Magic,21,Forward-Center,2.11,111.0,Germany,Michigan,24,1997-04-26,2018 R1 Pick 25,3
Ish,Wainright,Phoenix Suns,12,Forward,1.96,113.0,USA,Baylor,27,1994-09-12,Undrafted,0
Kemba,Walker,New York Knicks,8,Guard,1.83,83.0,USA,Connecticut,31,1990-05-08,2011 R1 Pick 9,10
Lonnie,Walker IV,San Antonio Spurs,1,Guard-Forward,1.93,93.0,USA,Miami,23,1998-12-14,2018 R1 Pick 18,3
John,Wall,Houston Rockets,1,Guard,1.91,95.0,USA,Kentucky,31,1990-09-06,2010 R1 Pick 1,10
T.J.,Warren,Indiana Pacers,1,Forward,2.03,100.0,USA,North Carolina State,28,1993-09-05,2014 R1 Pick 14,7
P.J.,Washington,Charlotte Hornets,25,Forward,2.01,104.0,USA,Kentucky,23,1998-08-23,2019 R1 Pick 12,2
Duane,Washington Jr.,Indiana Pacers,4,Guard,1.91,89.0,Germany,Ohio State,21,2000-03-24,Undrafted,0
Yuta,Watanabe,Toronto Raptors,18,Guard-Forward,2.06,98.0,Japan,George Washington,27,1994-10-13,Undrafted,3
Tremont,Waters,Washington Wizards,51,Guard,1.78,79.0,USA,Louisiana State,23,1998-01-10,2019 R2 Pick 51,2
Trendon,Watford,Portland Trail Blazers,2,Forward,2.03,108.0,USA,Louisiana State,21,2000-11-09,Undrafted,0
Paul,Watson,Oklahoma City Thunder,8,Guard,1.98,95.0,USA,Fresno State,27,1994-12-30,Undrafted,2
Quinndary,Weatherspoon,Golden State Warriors,15,Guard,1.91,93.0,USA,Mississippi State,25,1996-09-10,2019 R2 Pick 49,2
Russell,Westbrook,Los Angeles Lakers,0,Guard,1.91,91.0,USA,UCLA,33,1988-11-12,2008 R1 Pick 4,13
Coby,White,Chicago Bulls,0,Guard,1.93,88.0,USA,North Carolina,21,2000-02-16,2019 R1 Pick 7,2
Derrick,White,San Antonio Spurs,4,Guard,1.93,86.0,USA,Colorado,27,1994-07-02,2017 R1 Pick 29,4
Hassan,Whiteside,Utah Jazz,21,Center,2.13,120.0,USA,Marshall,32,1989-06-13,2010 R2 Pick 33,9
Joe,Wieskamp,San Antonio Spurs,15,Guard-Forward,1.98,93.0,USA,Iowa,22,1999-08-23,2021 R2 Pick 41,0
Aaron,Wiggins,Oklahoma City Thunder,21,Guard,1.93,86.0,USA,Maryland,23,1999-01-02,2021 R2 Pick 55,0
Andrew,Wiggins,Golden State Warriors,22,Forward,2.01,89.0,Canada,Kansas,26,1995-02-23,2014 R1 Pick 1,7
Grant,Williams,Boston Celtics,12,Forward,1.98,107.0,USA,Tennessee,23,1998-11-30,2019 R1 Pick 22,2
Kenrich,Williams,Oklahoma City Thunder,34,Guard-Forward,1.98,95.0,USA,TCU,27,1994-12-02,Undrafted,3
Lou,Williams,Atlanta Hawks,6,Guard,1.88,79.0,USA,South Gwinnett HS (GA),35,1986-10-27,2005 R2 Pick 45,16
Patrick,Williams,Chicago Bulls,44,Forward,2.01,98.0,USA,Florida State,20,2001-08-26,2020 R1 Pick 4,1
Ziaire,Williams,Memphis Grizzlies,8,Forward,2.06,84.0,USA,Stanford,20,2001-09-12,2021 R1 Pick 10,0
Robert,Williams III,Boston Celtics,44,Center-Forward,2.06,108.0,USA,Texas A&M,24,1997-10-17,2018 R1 Pick 27,3
Zion,Williamson,New Orleans Pelicans,1,Forward,1.98,129.0,USA,Duke,21,2000-07-06,2019 R1 Pick 1,2
D.J.,Wilson,Toronto Raptors,9,Forward,2.08,105.0,USA,Michigan,25,1996-02-19,2017 R1 Pick 17,4
Dylan,Windler,Cleveland Cavaliers,9,Guard-Forward,1.98,89.0,USA,Belmont,25,1996-09-22,2019 R1 Pick 26,1
Justise,Winslow,LA Clippers,20,Forward-Guard,1.98,101.0,USA,Duke,25,1996-03-26,2015 R1 Pick 10,6
Cassius,Winston,Washington Wizards,5,Guard,1.85,84.0,USA,Michigan State,23,1998-02-28,2020 R2 Pick 53,1
James,Wiseman,Golden State Warriors,33,Center,2.13,109.0,USA,Memphis,20,2001-03-31,2020 R1 Pick 2,1
Christian,Wood,Houston Rockets,35,Forward,2.06,97.0,USA,UNLV,26,1995-09-27,Undrafted,5
Robert,Woodard II,Sacramento Kings,17,Forward,1.98,107.0,USA,Mississippi State,22,1999-09-22,2020 R2 Pick 40,1
Delon,Wright,Atlanta Hawks,0,Guard,1.96,84.0,USA,Utah,29,1992-04-26,2015 R1 Pick 20,6
McKinley,Wright IV,Minnesota Timberwolves,25,Guard,1.8,87.0,USA,Colorado,23,1998-10-25,Undrafted,0
Thaddeus,Young,San Antonio Spurs,30,Forward,2.03,107.0,USA,Georgia Tech,33,1988-06-21,2007 R1 Pick 12,14
Trae,Young,Atlanta Hawks,11,Guard,1.85,74.0,USA,Oklahoma,23,1998-09-19,2018 R1 Pick 5,3
Omer,Yurtseven,Miami Heat,77,Center,2.11,125.0,Turkey,Georgetown,23,1998-06-19,Undrafted,0
Cody,Zeller,Portland Trail Blazers,40,Forward-Center,2.11,109.0,USA,Indiana,29,1992-10-05,2013 R1 Pick 4,8
Ivica,Zubac,LA Clippers,40,Center,2.13,109.0,Croatia,Mega Basket,24,1997-03-18,2016 R2 Pick 32,5
